id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-01-01T04:12:49;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2019-12-31T23:13:09;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-01-01T01:22:11;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2019-12-31T18:06:36;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-01-01T09:29:42;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2019-12-31T20:51:48;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2019-12-31T23:48:20;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2019-12-31T13:50:59;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2019-12-31T16:40:35;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2019-12-31T17:23:00;601;74069
